id,acuerdo,certificaciones,nombre,apellido,email,tel
88774573,Si,"[""certificacion 1"",""certificacion 1"",""certificacion 1""]",Alejandra,Orosco,Enrique25@gmail.com,966 267 685
70144315,No,"[""certificacion 3"",""certificacion 1"",""certificacion 2"",""certificacion 1"",""certificacion 3""]",Luis Miguel,Rosado,Dolores33@hotmail.com,938485868
71635847,No,"[""certificacion 3"",""certificacion 1"",""certificacion 2"",""certificacion 1""]",Elsa,Cerda,Jorge_Carren54@gmail.com,999 397 601
70119414,No,"[""certificacion 3"",""certificacion 1""]",Julio César,Gurule,Ariadna_Salinas34@yahoo.com,970.413.306
57666644,No,"[""certificacion 2"",""certificacion 3"",""certificacion 1"",""certificacion 1""]",José María,Miramontes,Susana_Muiz29@gmail.com,979706605
90249989,No,"[""certificacion 2"",""certificacion 1"",""certificacion 3"",""certificacion 1"",""certificacion 2""]",Pablo,Blanco,Alejandra.Pizarro86@hotmail.com,900290523
50347454,Si,"[""certificacion 2""]",Manuel,Alaníz,Mariana57@gmail.com,933-372-638
96997788,No,"[""certificacion 2"",""certificacion 1"",""certificacion 1"",""certificacion 1"",""certificacion 1""]",Julia,Luevano,Lola_Barrios@yahoo.com,914-868-973
44958597,No,"[""certificacion 2""]",Salvador,Elizondo,Lucas78@gmail.com,912.499.362
36098948,Si,"[""certificacion 3"",""certificacion 3"",""certificacion 3"",""certificacion 1"",""certificacion 2""]",Mariano,Calvillo,Julio_Muoz27@hotmail.com,949 897 476
11773415,No,"[""certificacion 2"",""certificacion 3"",""certificacion 3"",""certificacion 1""]",Felipe,Romo,Anita_Amaya85@hotmail.com,972 288 717
86383939,No,"[""certificacion 3"",""certificacion 3"",""certificacion 3"",""certificacion 1"",""certificacion 1""]",Emilia,Arenas,Soledad8@yahoo.com,934.076.449
83445319,No,"[""certificacion 3"",""certificacion 3""]",Horacio,Delapaz,Lola.Rentera2@yahoo.com,908 295 253
90799300,No,"[""certificacion 3"",""certificacion 1""]",Raúl,Valdés,Mariano_Zambrano70@gmail.com,962167812
74282110,No,"[""certificacion 1"",""certificacion 1"",""certificacion 2"",""certificacion 1""]",Olivia,Alba,Diego95@yahoo.com,981224413
70697694,Si,"[""certificacion 3"",""certificacion 3""]",Cecilia,Juárez,Clara.Ballesteros@gmail.com,972340804
63220058,No,"[""certificacion 1"",""certificacion 2"",""certificacion 2""]",Luz,Delarosa,Anita.Alcal29@gmail.com,943291721
2450653,Si,"[""certificacion 1"",""certificacion 2""]",Norma,Baeza,Gilberto_Terrazas39@yahoo.com,963699521
25532351,Si,"[""certificacion 3"",""certificacion 1"",""certificacion 2""]",Guadalupe,Malave,Josefina_Heredia62@gmail.com,947.051.505
48204705,Si,"[""certificacion 2""]",Mayte,Marrero,Antonio.Alicea89@yahoo.com,949.116.943
79163640,Si,"[""certificacion 3"",""certificacion 3"",""certificacion 3""]",Ángela,Delao,Teresa_Betancourt@gmail.com,962.014.953
41521346,Si,"[""certificacion 2""]",Marcos,Juárez,scar.Razo@gmail.com,976.112.050
64951512,No,"[""certificacion 1"",""certificacion 3"",""certificacion 2""]",Susana,Ulloa,JuanCarlos.Robles54@yahoo.com,934698364
